GO_name,GO_term,GO_definition
negative regulation of membrane invagination,GO:1905154,"Any process that stops, prevents or reduces the frequency, rate or extent of membrane invagination."
negative regulation of clathrin-coated pit assembly,GO:1905469,"Any process that stops, prevents or reduces the frequency, rate or extent of clathrin-coated pit assembly."
creatinine metabolic process,GO:0046449,"The chemical reactions and pathways involving creatinine, 2-amino-1,5-dihydro-1-methyl-4H-imidazol-4-one, an end product of creatine metabolism and a normal constituent of urine."
neuropeptide processing,GO:0061837,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a neuropeptide precursor. Processing leads to the attainment of the full functional capacity of the neuropeptide.
negative regulation of collateral sprouting of intact axon in response to injury,GO:0048685,"Any process that stops, prevents, or reduces the frequency, rate or extent of collateral sprouting of an intact axon as a result of injury to an axon."
muscle cell apoptotic process,GO:0010657,"A form of programmed cell death induced by external or internal signals that trigger the activity of proteolytic caspases, whose actions dismantle a muscle cell and result in its death. A muscle cell is a mature contractile cell, commonly known as a myocyte, that forms one of three kinds of muscle."
regulation of skeletal muscle contraction by calcium ion signaling,GO:0014722,"Any process that modulates the frequency, rate or extent of skeletal muscle contraction by changing the calcium ion signals that trigger contraction."
actin filament reorganization involved in cell cycle,GO:0030037,The cell cycle process in which rearrangement of the spatial distribution of actin filaments and associated proteins occurs.
regulation of cellular component movement,GO:0051270,"Any process that modulates the frequency, rate or extent of the movement of a cellular component."
regulation of protein localization to nucleolus,GO:1904749,"Any process that modulates the frequency, rate or extent of protein localization to nucleolus."
negative regulation of miRNA catabolic process,GO:2000626,"Any process that stops, prevents or reduces the frequency, rate or extent of miRNA catabolic process."
dark adaptation,GO:1990603,The process by which the rods of the retina gradually become fully responsive to dim light when no longer exposed to bright light.
regulation of cell-substrate junction organization,GO:0150116,"Any process that modulates the frequency, rate or extent of cell-substrate junction organization."
pseudopodium organization,GO:0031268,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a pseudopodium, a temporary protrusion or retractile process of a cell, associated with cellular movement."
T cell differentiation involved in immune response,GO:0002292,"The process in which an antigenically naive T cell acquires the specialized features of an effector, regulatory, or memory T cell as part of an immune response. Effector T cells include cells which provide T cell help or exhibit cytotoxicity towards other cells."
positive regulation of immune response to tumor cell,GO:0002839,"Any process that activates or increases the frequency, rate, or extent of an immune response to tumor cell."
microtubule-based transport,GO:0099111,"A microtubule-based process that results in the transport of organelles, other microtubules, or other cellular components.  Examples include motor-driven movement along microtubules and movement driven by polymerization or depolymerization of microtubules."
regulation of CAMKK-AMPK signaling cascade,GO:1905289,"Any process that modulates the frequency, rate or extent of CAMKK-AMPK signaling cascade."
regulation of interleukin-5 production,GO:0032674,"Any process that modulates the frequency, rate, or extent of interleukin-5 production."
regulation of DNA N-glycosylase activity,GO:1902544,"Any process that modulates the frequency, rate or extent of DNA N-glycosylase activity."
negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation,GO:1903125,A peptidyl-threonine phosphorylation that results in negative regulation of thioredoxin peroxidase activity.
negative regulation of protein processing involved in protein targeting to mitochondrion,GO:1903217,"Any process that stops, prevents or reduces the frequency, rate or extent of protein processing involved in protein targeting to mitochondrion."
Wnt signalosome assembly,GO:1904887,"The aggregation, arrangement and bonding together of a set of components to form a Wnt signalosome."
negative regulation of non-membrane spanning protein tyrosine kinase activity,GO:1903996,"Any process that stops, prevents or reduces the frequency, rate or extent of non-membrane spanning protein tyrosine kinase activity."
tRNA 3'-terminal CCA addition,GO:0001680,"Post-transcriptional addition of the terminal 3' CCA sequence to a tRNA which does not encode this sequence within the primary transcript. CCA addition proceeds by the sequential addition of CTP, CTP, and then ATP to the 3' end of the tRNA, yielding a diphosphate with each nucleotide addition."
corticospinal neuron axon guidance,GO:0021966,The process in which the migration of an axon growth cone of a neuron that is part of the corticospinal tract is directed from the cerebral cortex layer V to the spinal cord dorsal funiculus in response to a combination of attractive and repulsive cues.
regulation of GABA-A receptor activity,GO:0106040,"Any process that modulates the frequency, rate or extent of GABA-A receptor activity."
skeletal muscle satellite cell migration,GO:1902766,The orderly movement of a skeletal muscle satellite cell from one site to another. Migration of these cells is a key step in the process of growth and repair of skeletal muscle cells.
angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure,GO:0001998,The decrease in blood vessel diameter as a result of the release of angiotensin into the blood stream.
alpha-beta T cell lineage commitment,GO:0002363,The process in which a pro-T cell becomes committed to becoming an alpha-beta T cell.
trabecula morphogenesis,GO:0061383,"The process of shaping a trabecula in an organ. A trabecula is a small, often microscopic, tissue element in the form of a small beam, strut or rod, which generally has a mechanical function. Trabecula are usually but not necessarily, composed of dense collagenous tissue."
mitotic cleavage furrow formation,GO:1903673,Any cleavage furrow formation that is involved in mitotic cell cycle.
regulation of adipose tissue development,GO:1904177,"Any process that modulates the frequency, rate or extent of adipose tissue development."
positive regulation of interleukin-15 production,GO:0032738,"Any process that activates or increases the frequency, rate, or extent of interleukin-15 production."
TIRAP-dependent toll-like receptor 4 signaling pathway,GO:0035665,Any series of molecular signals generated as a consequence of binding to a toll-like receptor 4 where the TIRAP/MAL adaptor mediates transduction of the signal. Toll-like 4 receptors are pattern recognition receptors that bind bacterial lipopolysaccharide (LPS) to initiate an innate immune response.
glial cell projection elongation,GO:0106091,The process of creating an elongation or projection from a glial cell.
positive regulation of inflammatory response to wounding,GO:0106016,"Any process that activates or increases the frequency, rate or extent of the inflammatory response to wounding."
defecation,GO:0030421,The expulsion of feces from the rectum.
deoxynucleotide transport,GO:0030302,"The directed movement of a deoxynucleotide, a deoxyribonucleoside in ester linkage to phosphate, commonly at the 5' position of deoxyribose, into, out of or within a cell."
negative regulation of neuronal action potential,GO:1904456,"Any process that stops, prevents or reduces the frequency, rate or extent of neuronal action potential."
regulation of vascular associated smooth muscle cell dedifferentiation,GO:1905174,"Any process that modulates the frequency, rate or extent of vascular smooth muscle cell dedifferentiation."
vestibular receptor cell morphogenesis,GO:0060116,Any process that alters the size or shape of a vestibular receptor cell.
L-arabinose metabolic process,GO:0046373,"The chemical reactions and pathways involving L-arabinose, the D-enantiomer of arabino-pentose. L-arabinose occurs free, e.g. in the heartwood of many conifers, and in the combined state, in both furanose and pyranose forms, as a constituent of various plant hemicelluloses, bacterial polysaccharides etc."
microtubule cytoskeleton organization involved in mitosis,GO:1902850,Any microtubule cytoskeleton organization that is involved in mitosis.
regulation of ribonuclease activity,GO:0060700,"Any process that modulates the rate, frequency, or extent of ribonuclease activity, catalysis of the hydrolysis of phosphodiester bonds in chains of RNA."
positive regulation of chromatin assembly or disassembly,GO:0045799,"Any process that activates or increases the frequency, rate or extent of chromatin assembly or disassembly."
hemangioblast cell differentiation,GO:0060217,The process in which a relatively unspecialized cell acquires the characteristics of a mature hemangioblast. Hemangioblasts are the proposed common precursor of blood and endothelial lineages.
regulation of mast cell differentiation,GO:0060375,"Any process that modulates the rate, frequency or extent of mast cell differentiation, the process in which a relatively unspecialized myeloid precursor cell acquires the specialized features of a mast cell. A mast cell is a cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation."
T-helper 17 type immune response,GO:0072538,"An immune response which is associated with resistance to intracellular bacteria with a key role in inflammation and tissue injury. This immune response is associated with pathological autoimmune conditions such as multiple sclerosis, arthritis and psoriasis which is typically orchestrated by the production of particular cytokines by T-helper 17 cells, most notably interleukin-17, IL-21 and IL-22."
cellular response to mycotoxin,GO:0036146,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mycotoxin stimulus. A mycotoxin is a toxic chemical substance produced by fungi."
cellular response to dithiothreitol,GO:0072721,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a dithiothreitol stimulus."
vitelline membrane formation,GO:0030704,"Construction of the vitelline membrane portion of the egg shell, a rigid structure required to maintain the shape of the egg."
negative regulation of eye pigmentation,GO:0048074,"Any process that stops, prevents, or reduces the frequency, rate or extent of establishment of a pattern of pigment in the eye of an organism."
camera-type eye photoreceptor cell fate commitment,GO:0060220,The process in which the developmental fate of a cell becomes restricted such that it will develop into a photoreceptor cell in a camera-type eye.
regulation of humoral immune response,GO:0002920,"Any process that modulates the frequency, rate, or extent of a humoral immune response."
regulation of eye pigmentation,GO:0048073,"Any process that modulates the frequency, rate or extent of establishment of a pattern of pigment in the eye of an organism."
amino-acid betaine transport,GO:0015838,"The directed movement of betaine, the N-trimethyl derivative of an amino acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
L-isoleucine import across plasma membrane,GO:1903806,"The directed movement of L-isoleucine from outside of a cell, across the plasma membrane and into the cytosol."
proline import across plasma membrane,GO:1905647,The directed movement of proline from outside of a cell into the cytoplasmic compartment.
negative regulation of endothelial cell chemotaxis to fibroblast growth factor,GO:2000545,"Any process that stops, prevents or reduces the frequency, rate or extent of endothelial cell chemotaxis to fibroblast growth factor."
lymphocyte chemotaxis across high endothelial venule,GO:0002518,The movement of a lymphocyte to cross a high endothelial venule in response to an external stimulus.
endothelial cell chemotaxis to fibroblast growth factor,GO:0035768,The directed movement of an endothelial cell in response to the presence of fibroblast growth factor (FGF).
regulation of lactation,GO:1903487,"Any process that modulates the frequency, rate or extent of lactation."
neurotransmitter receptor cycle,GO:0099627,"The process during which neurotransmitter receptors, anchored in some region of the synaptic membrane, are recycled via the endosome.  This cycle includes release from anchoring, diffusion in the synaptic membrane to an endocytic region, endocytosis, transport to the endosome, recycling in the endosome,  transport back the synaptic membrane and subsequent anchoring (trapping)."
postsynaptic neurotransmitter receptor cycle,GO:0099630,"The process during which neurotransmitter receptors in the postsynaptic specialization membrane are recycled via the endosome. This cycle includes release from anchoring (trapping), diffusion in the synaptic membrane to the postsynaptic endocytic region, endocytosis, transport to the endosome, recycling in the endosome,  transport back the synaptic membrane and subsequent trapping in the postsynaptic specialization membrane."
positive regulation of adherens junction organization,GO:1903393,"Any process that activates or increases the frequency, rate or extent of adherens junction organization."
regulation of engulfment of apoptotic cell,GO:1901074,"Any process that modulates the frequency, rate or extent of engulfment of apoptotic cell."
positive regulation of histone ubiquitination,GO:0033184,"Any process that activates or increases the frequency, rate or extent of the addition of a ubiquitin group to a histone protein."
phosphatidylserine exposure on blood platelet,GO:0097045,"A phospholipid scrambling process that results in the appearance of phosphatidylserine on the surface of activated blood platelets, and triggers the clotting system."
modulation by host of viral transcription,GO:0043921,"Any process in which a host organism modulates the frequency, rate or extent of viral transcription."
ammonia assimilation cycle,GO:0019676,"The pathway by which ammonia is processed and incorporated into a cell. In an energy-rich (glucose-containing), nitrogen-poor environment, glutamine synthetase and glutamate synthase form an ammonia assimilatory cycle, in which ammonia is incorporated into L-glutamate to form L-glutamine, which then combines with alpha-ketoglutarate to regenerate L-glutamate. This ATP-dependent cycle is essential for nitrogen-limited growth and for steady-state growth with some sources of nitrogen."
tRNA wobble base cytosine methylation,GO:0002127,The process in which the base of cytosine at position 34 in the anticodon of a tRNA is post-transcriptionally methylated at the C5 position.
interneuron migration from the subpallium to the cortex,GO:0021830,The directed movement of interneurons from the subpallium to the cortex during forebrain development.
negative regulation of mitotic centrosome separation,GO:0046603,"Any process that stops, prevents, or reduces the frequency, rate or extent of centrosome separation."
regeneration,GO:0031099,"The regrowth of a lost or destroyed body part, such as an organ or tissue. This process may occur via renewal, repair, and/or growth alone (i.e. increase in size or mass)."
plasma membrane ATP synthesis coupled electron transport,GO:0042774,"The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP in the plasma membrane."
negative regulation of N-terminal protein palmitoylation,GO:0060262,Any process that decreases the rate frequency or extent of the covalent attachment of a palmitoyl group to the N-terminal amino acid residue of a protein.
central nervous system interneuron axonogenesis,GO:0021956,Generation of a long process that carries efferent (outgoing) action potentials from the cell body towards target cells from a neuron located in the central nervous system whose axons remain within a single brain region.
UDP-D-xylose biosynthetic process,GO:0033320,"The chemical reactions and pathways resulting in the formation of UDP-D-xylose, uridinediphosphoxylose, a substance composed of xylose in glycosidic linkage with uridine diphosphate."
negative regulation of isotype switching,GO:0045829,"Any process that stops, prevents, or reduces the frequency, rate or extent of isotype switching."
negative regulation of telomerase RNA reverse transcriptase activity,GO:1905662,"Any process that stops, prevents or reduces the frequency, rate or extent of telomerase RNA reverse transcriptase activity."
maintenance of imprinting at mating-type locus,GO:0071517,"Any process involved in preserving the structure of a stable single-strand DNA lesion that triggers programmed gene conversion at the mating-type locus, thereby restricting mating-type interconversion to one of the two sister chromatids during DNA replication."
negative regulation of granulocyte macrophage colony-stimulating factor production,GO:0032685,"Any process that stops, prevents, or reduces the frequency, rate, or extent of granulocyte macrophage colony-stimulating factor production."
regulation of lymphocyte chemotaxis,GO:1901623,"Any process that modulates the frequency, rate or extent of lymphocyte chemotaxis."
peptidyl-pyrromethane cofactor linkage,GO:0018160,The covalent binding of a pyrromethane (dipyrrin) cofactor to protein via the sulfur atom of cysteine forming dipyrrolylmethanemethyl-L-cysteine.
protein-containing complex assembly involved in synapse maturation,GO:0090126,"The aggregation, arrangement and bonding together of a set of components to form a protein complex that contributes to synapse maturation."
phytanic acid metabolic process,GO:1903512,The chemical reactions and pathways involving phytanic acid.
protein-containing complex localization,GO:0031503,"A localization process that acts on a protein complex; the complex is transported to, or maintained in, a specific location."
negative regulation of guanylate cyclase activity,GO:0031283,"Any process that stops, prevents, or reduces the frequency, rate or extent of guanylate cyclase activity."
ovarian follicle atresia,GO:0001552,A periodic process in which immature ovarian follicles degenerate and are subsequently re-absorbed.
N-terminal peptidyl-aspartic acid acetylation,GO:0017190,The acetylation of the N-terminal aspartic acid of proteins; catalyzed by aspartate N-acetyltransferase.
floor plate formation,GO:0021508,The formation of a ventral region of glial cells in the neural tube that provides inductive signals for the specification of neuronal cell types. The floor plate is evident at the ventral midline by the neural fold stage.
adenosine biosynthetic process,GO:0046086,"The chemical reactions and pathways resulting in the formation of adenosine, adenine riboside, a ribonucleoside found widely distributed in cells of every type as the free nucleoside and in combination in nucleic acids and various nucleoside coenzymes."
negative regulation of relaxation of smooth muscle,GO:1901081,"Any process that stops, prevents or reduces the frequency, rate or extent of relaxation of smooth muscle."
negative regulation of the force of heart contraction by chemical signal,GO:0003108,"Any process which decreases the force of heart muscle contraction mediated by chemical signaling, hormonal, autocrine or paracrine."
regulation of melanosome organization,GO:1903056,"Any process that modulates the frequency, rate or extent of melanosome organization."
dADP phosphorylation,GO:0006174,"The process of introducing a phosphate group into dADP, deoxyadenosine diphosphate, to produce dATP."
dGDP phosphorylation,GO:0006186,"The process of introducing a phosphate group into dGDP, deoxyguanosine diphosphate, to produce dGTP."
AMP phosphorylation,GO:0006756,"The process of introducing a phosphate group into AMP, adenosine monophosphate, to produce ADP. Addition of two phosphate groups produces ATP."
ATP generation from ADP,GO:0006757,"The process of introducing a phosphate group into ADP, adenosine diphosphate, to produce ATP."
CDP phosphorylation,GO:0061508,The process of introducing a phosphate group into CDP to produce a CTP.
dAMP phosphorylation,GO:0061565,"The process of introducing a phosphate group into dAMP, deoxyadenosine monophosphate, to produce dADP. Addition of two phosphate groups produces dATP."
CMP phosphorylation,GO:0061566,"The process of introducing a phosphate group into CMP, cytidine monophosphate, to produce CDP. Addition of two phosphate groups produces CTP."
dCMP phosphorylation,GO:0061567,"The process of introducing a phosphate group into dCMP, deoxycytidine monophosphate, to produce dCDP. Addition of two phosphate groups produces dCTP."
GDP phosphorylation,GO:0061568,"The process of introducing a phosphate group into GDP, guanosine diphosphate, to produce GTP."
UDP phosphorylation,GO:0061569,"The process of introducing a phosphate group into UDP, uridine diphosphate, to produce UTP."
dCDP phosphorylation,GO:0061570,The process of introducing a phosphate group into dCDP to produce a dCTP.
TDP phosphorylation,GO:0061571,The process of introducing a phosphate group into TDP to produce a TTP.
development of secondary male sexual characteristics,GO:0046544,"The process whose specific outcome is the progression of the secondary male sexual characteristics over time, from their formation to the mature structures. In male humans, these include growth of axillary, chest, and pubic hair, voice changes, and testicular/penile enlargement. Development occurs in response to sex hormone secretion."
mast cell migration,GO:0097531,The movement of a mast cell within or between different tissues and organs of the body.
immune response in brain or nervous system,GO:0002383,An immune response taking place in the brain or nervous system.
detection of stimulus involved in cell cycle checkpoint,GO:0072394,"The series of events in which information about a biological process or quality is received and converted into a molecular signal, contributing to a cell cycle checkpoint."
detection of DNA damage stimulus involved in DNA damage checkpoint,GO:0072421,"The series of events in which information about damage to DNA is received and converted into a molecular signal, contributing to a DNA damage checkpoint."
immune complex formation,GO:0097281,"The process that gives rise to an immune complex. Immune complexes are clusters of antibodies bound to antigen, to which complement may also be fixed, and which may precipitate or remain in solution. Examples are the clumping of cells such as bacteria or red blood cells in the presence of an antibody, precipitation of a toxin after an antibody binds to it, and clumping of viral particles as a result of antibody binding to the virus."
nitric oxide storage,GO:0035732,"The accumulation and maintenance in cells or tissues of nitric oxide (NO). Nitric oxide is stored in the form of dinitrosyl-iron complexes, which are stabilized, and possibly sequestered, by binding to glutathione S-transferase proteins."
suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process,GO:0039650,"Any process in which a virus stops, prevents, or reduces the frequency, rate or extent of host caspase activity. Caspases are cysteine-type endopeptidases which contribute to the apoptotic process."
pathogenesis,GO:0009405,"The set of specific processes that generate the ability of an organism to induce an abnormal, generally detrimental state in another organism."
formate transport,GO:0015724,"The directed movement of formate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
mannitol transport,GO:0015797,"The directed movement of mannitol into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Mannitol is the alditol derived from D-mannose by reduction of the aldehyde group."
oxalic acid secretion,GO:0046724,"The controlled release of oxalic acid, ethanedioic acid, by a cell or a tissue."
renal tubular secretion,GO:0097254,"Secretion of substances from peritubular capillaries into the renal tubules to be incorporated subsequently into the urine. Substances that are secreted include organic anions, ammonia, potassium and drugs."
sterol transmembrane transport,GO:0035382,The process in which a sterol is transported across a membrane. Sterols are steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule.
cellular response to flavonoid,GO:1905396,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a flavonoid stimulus."
hormone transport,GO:0009914,"The directed movement of hormones into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
positive regulation of response to interferon-gamma,GO:0060332,"Any process that increases the rate, frequency or extent of a response to interferon-gamma. Response to interferon gamma is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-gamma stimulus."
pentose metabolic process,GO:0019321,"The chemical reactions and pathways involving a pentose, any monosaccharide with a chain of five carbon atoms in the molecule."
tyrosyl-tRNA aminoacylation,GO:0006437,"The process of coupling tyrosine to tyrosyl-tRNA, catalyzed by tyrosyl-tRNA synthetase. The tyrosyl-tRNA synthetase is a class-I synthetase. The activated amino acid is transferred to the 2'-OH group of a tyrosine-accetping tRNA. The 2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification."
mitochondrial tyrosyl-tRNA aminoacylation,GO:0070184,"The process of coupling tyrosine to tyrosyl-tRNA in a mitochondrion, catalyzed by tyrosyl-tRNA synthetase. In tRNA aminoacylation, the amino acid is first activated by linkage to AMP and then transferred to either the 2'- or the 3'-hydroxyl group of the 3'-adenosine residue of the tRNA."
negative regulation of detection of mechanical stimulus involved in sensory perception of touch,GO:1905788,"Any process that stops, prevents or reduces the frequency, rate or extent of detection of mechanical stimulus involved in sensory perception of touch."
peptidyl-lysine N6-acetylation,GO:0018003,The acetylation of the peptidyl-lysine of proteins to form the derivative peptidyl-N6-acetyl-L-lysine.
intercellular bridge organization,GO:0043063,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the intracellular bridge. An intracellular bridge is a direct link between the cytoplasms of sister cells that allows cells to communicate with one another."
tumor necrosis factor production,GO:0032640,"The appearance of tumor necrosis factor due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."
regulation of zinc ion transport,GO:0071579,"Any process that modulates the frequency, rate or extent of the directed movement of zinc ions (Zn2+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
regulation of cellular response to manganese ion,GO:1905802,"Any process that modulates the frequency, rate or extent of cellular response to manganese ion."
regulation of phosphatidylethanolamine metabolic process,GO:0150175,"Any process that modulates the frequency, rate or extent of phosphatidylethanolamine metabolic process."
regulation of phosphatidylserine metabolic process,GO:0150178,"Any process that modulates the frequency, rate or extent of phosphatidylserine metabolic process."
lysophospholipid translocation,GO:0140329,The movement of a lysophospholipid molecule from one leaflet of a membrane bilayer to the opposite leaflet.
regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback,GO:0003026,The process that modulates blood pressure by sensing the amount of stretch occurring in the aorta and responding to the input via central nervous system control.
endocrine signaling,GO:0038002,"The transfer of information from one cell to another, where an endocrine hormone is transported from the signal-producing cell to the receiving cell via the circulatory system (via blood, lymph or cerebrospinal fluid). The signaling cell and the receiving cell are often distant to each other."
negative regulation of double-strand break repair via single-strand annealing,GO:1901291,"Any process that stops, prevents or reduces the frequency, rate or extent of double-strand break repair via single-strand annealing."
negative regulation of hexokinase activity,GO:1903300,"Any process that stops, prevents or reduces the frequency, rate or extent of hexokinase activity."
positive regulation of macrophage tolerance induction,GO:0010933,"Any process that increases the frequency, rate, or extent of B cell tolerance induction."
regulation of protein-containing complex disassembly,GO:0043244,"Any process that modulates the frequency, rate or extent of protein complex disassembly, the disaggregation of a protein complex into its constituent components."
hindgut development,GO:0061525,"The process whose specific outcome is the progression of the hindgut over time, from its formation to the mature structure. The hindgut is part of the alimentary canal that lies posterior to the midgut."
lead ion transport,GO:0015692,"The directed movement of lead (Pb) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
nickel cation transmembrane transport,GO:0035444,The directed movement of nickel (Ni) cations across a membrane by means of some agent such as a transporter or pore.
negative regulation of collecting lymphatic vessel constriction,GO:1903815,"Any process that stops, prevents or reduces the frequency, rate or extent of collecting lymphatic vessel constriction."
norepinephrine secretion,GO:0048243,The regulated release of norepinephrine by a cell. Norepinephrine is a catecholamine and it acts as a hormone and as a neurotransmitter of most of the sympathetic nervous system.
trophectodermal cell proliferation,GO:0001834,The proliferation of cells in the trophectoderm.
DNA endoreduplication,GO:0042023,"Regulated re-replication of DNA within a single cell cycle, resulting in an increased cell ploidy. An example of this process occurs in the synthesis of Drosophila salivary gland cell polytene chromosomes."
pre-mRNA catabolic process,GO:1990261,The chemical reactions and pathways resulting in the breakdown of the unspliced pre-mRNA (pre-messenger RNA).
positive regulation of homophilic cell adhesion,GO:1903387,"Any process that activates or increases the frequency, rate or extent of homophilic cell adhesion."
protein-lipid complex assembly,GO:0065005,"The aggregation, arrangement and bonding together of proteins and lipids to form a protein-lipid complex."
negative regulation of cholesterol import,GO:0060621,"Any process that decreases the rate, frequency or extent of cholesterol import. Cholesterol import is the directed movement of cholesterol into a cell or organelle."
negative regulation of high-density lipoprotein particle clearance,GO:0010987,"Any process that decreases the rate, frequency or extent of high-density lipoprotein particle clearance. High-density lipoprotein particle clearance is the process in which a high-density lipoprotein particle is removed from the blood via receptor-mediated endocytosis and its constituent parts degraded."
regulation of skeletal muscle contraction by action potential,GO:0100001,Any action potential process that regulates skeletal muscle contraction.
"mRNA splicing, via endonucleolytic cleavage and ligation",GO:0070054,"Splicing of mRNA substrates via recognition of the folded RNA structure that brings the 5' and 3' splice sites into proximity and cleavage of the RNA at both the 3' and 5' splice sites by an endonucleolytic mechanism, followed by ligation of the exons."
mRNA cleavage involved in mRNA processing,GO:0098787,"Cleavage of an immature mRNA transcript to produce one or more more mature mRNA transcripts, prior to translation into polypeptide."
peptidyl-serine trans-autophosphorylation,GO:1990579,"The phosphorylation of a peptidyl-serine to form peptidyl-O-phospho-L-serine on an identical protein. For example, phosphorylation by the other kinase within a homodimer."
"trans-synaptic signaling, modulating synaptic transmission",GO:0099550,"Cell-cell signaling between presynapse and postsynapse, across the synaptic cleft, that modulates the synaptic transmission properties of the synapse."
response to ketamine,GO:1901986,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ketamine stimulus."
cellular response to monosodium glutamate,GO:1904009,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a monosodium glutamate stimulus."
response to Aroclor 1254,GO:1904010,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an Aroclor 1254 stimulus."
protein maturation by copper ion transfer,GO:0015680,A process that contributes to the delivery of copper ions to a target protein.
cap-independent translational initiation,GO:0002190,The process where translation initiation recruits the 40S ribosomal subunits in a Cap and 5' end independent fashion before an AUG codon is encountered in an appropriate sequence context to initiate mRNA or circRNA translation.
IRES-dependent translational initiation of linear mRNA,GO:0002192,The process where translation initiation recruits the 40S ribosomal subunits via an internal ribosome entry segment (IRES) before an AUG codon is encountered in an appropriate sequence context to initiate linear mRNA translation.
negative regulation of translation in response to stress,GO:0032055,"Any process that stops, prevents or reduces the rate of translation as a result of a stimulus indicating the organism is under stress."
regulation of glutamine family amino acid metabolic process,GO:0000820,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving amino acids of the glutamine family, comprising arginine, glutamate, glutamine and proline."
regulation of pyruvate dehydrogenase activity,GO:1904182,"Any process that modulates the frequency, rate or extent of pyruvate dehydrogenase activity."
plasmacytoid dendritic cell antigen processing and presentation,GO:0002470,The process in which a plasmacytoid dendritic cell expresses antigen (peptide or lipid) on its cell surface in association with an MHC protein complex.
determination of intestine left/right asymmetry,GO:0071908,Determination of the asymmetric location of the intestine loops with respect to the left and right halves of the organism.
determination of stomach left/right asymmetry,GO:0071909,Determination of the asymmetric location of the stomach with respect to the left and right halves of the organism.
regulation of planar cell polarity pathway involved in neural tube closure,GO:2000167,"Any process that modulates the frequency, rate or extent of planar cell polarity pathway involved in neural tube closure."
FasL biosynthetic process,GO:0045210,"The chemical reactions and pathways resulting in the formation of fas ligand (FasL or CD95L), an antigen originally found to be expressed on the cell surface of activated human T-lymphocytes and B-lymphocytes and a variety of malignant human lymphoid cell lines."
negative regulation of cholesterol transporter activity,GO:0060695,"Any process that decreases the rate, frequency, or extent of cholesterol transporter activity."
brassinosteroid biosynthetic process,GO:0016132,"The chemical reactions and pathways resulting in the formation of brassinosteroids, any of a group of steroid derivatives that occur at very low concentrations in plant tissues and may have hormone-like effects."
negative regulation of neuroblast migration,GO:0061855,"Any process that stops, prevents, or reduces the frequency, rate or extent of neuroblast migration."
positive regulation of uterine smooth muscle relaxation,GO:1900721,"Any process that activates or increases the frequency, rate or extent of uterine smooth muscle relaxation."
synaptic vesicle recycling via endosome,GO:0036466,Synaptic vesicle recycling where vesicles endocytosed via clathrin-coated pits re-acidify and refill with neurotransmitters after passing through an endosomal intermediate.
cytotoxic T cell differentiation,GO:0045065,The process in which a relatively unspecialized T cell acquires specialized features of a cytotoxic T cell.
histone H2B-K5 acetylation,GO:0043979,The modification of histone H2B by the addition of an acetyl group to a lysine residue at position 5 of the histone.
regulation of stress-activated protein kinase signaling cascade,GO:0070302,"Any process that modulates the frequency, rate or extent of signaling via a stress-activated protein kinase signaling cascade."
regulation of histone H4 acetylation,GO:0090239,"Any process that modulates the rate, frequency, or extent of histone H4 acetylation, the modification of histone H4 by the addition of an acetyl group."
regulation of mitotic cell cycle DNA replication,GO:1903463,"Any process that modulates the frequency, rate or extent of mitotic cell cycle DNA replication."
regulation of blood circulation,GO:1903522,"Any process that modulates the frequency, rate or extent of blood circulation."
histone H2A phosphorylation,GO:1990164,The modification of histone H2A by the addition of a phosphate group.
regulation of histone H4-K16 acetylation,GO:2000618,"Any process that modulates the frequency, rate or extent of histone H4-K16 acetylation."
