electron transport chain,GO:0022900
cellular response to water deprivation,GO:0042631
cardiac atrium morphogenesis,GO:0003209
ventricular trabecula myocardium morphogenesis,GO:0003222
dorsal aorta morphogenesis,GO:0035912
ventral spinal cord interneuron fate commitment,GO:0060579
negative regulation of monocyte differentiation,GO:0045656
peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan,GO:0019800
regulation of synaptic vesicle priming,GO:0010807
strand invasion,GO:0042148
mitotic recombination,GO:0006312
DNA recombinase assembly,GO:0000730
telomere maintenance via telomere lengthening,GO:0010833
chromosome organization involved in meiotic cell cycle,GO:0070192
meiosis I,GO:0007127
cellular response to cisplatin,GO:0072719
base-excision repair_ DNA ligation,GO:0006288
lagging strand elongation,GO:0006273
mitochondrial DNA repair,GO:0043504
double-strand break repair via alternative nonhomologous end joining,GO:0097681
protein heterooligomerization,GO:0051291
neuronal signal transduction,GO:0023041
regulation of membrane depolarization,GO:0003254
negative regulation of sodium ion transmembrane transport,GO:1902306
aromatic compound catabolic process,GO:0019439
epoxide metabolic process,GO:0097176
chemokine (C-C motif) ligand 21 signaling pathway,GO:0038116
chemokine (C-X-C motif) ligand 12 signaling pathway,GO:0038146
positive regulation of protein glycosylation,GO:0060050
skeletal muscle thin filament assembly,GO:0030240
natural killer cell degranulation,GO:0043320
positive regulation of NK T cell proliferation,GO:0051142
keratinocyte proliferation,GO:0043616
keratinocyte migration,GO:0051546
negative regulation of oxidative phosphorylation,GO:0090324
negative regulation of very-low-density lipoprotein particle clearance,GO:0010916
negative regulation of receptor internalization,GO:0002091
serine phosphorylation of STAT protein,GO:0042501
regulation of modification of postsynaptic structure,GO:0099159
positive regulation of sister chromatid cohesion,GO:0045876
positive regulation of endodeoxyribonuclease activity,GO:0032079
G-quadruplex DNA unwinding,GO:0044806
positive regulation of toll-like receptor 7 signaling pathway,GO:0034157
B cell apoptotic process,GO:0001783
mitochondrial fusion,GO:0008053
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,GO:0008635
response to mycotoxin,GO:0010046
fibroblast apoptotic process,GO:0044346
thymocyte apoptotic process,GO:0070242
apoptotic process involved in blood vessel morphogenesis,GO:1902262
regulation of receptor recycling,GO:0001919
protein exit from endoplasmic reticulum,GO:0032527
cellular response to testosterone stimulus,GO:0071394
cellular response to lipid,GO:0071396
signal transduction involved in DNA damage checkpoint,GO:0072422
entry of bacterium into host cell,GO:0035635
regulation of epithelial cell migration,GO:0010632
signal complex assembly,GO:0007172
response to acidic pH,GO:0010447
neurotrophin TRK receptor signaling pathway,GO:0048011
progesterone receptor signaling pathway,GO:0050847
response to mineralocorticoid,GO:0051385
regulation of cell projection assembly,GO:0060491
positive regulation of platelet-derived growth factor receptor-beta signaling pathway,GO:2000588
mammary duct terminal end bud growth,GO:0060763
negative regulation of trophoblast cell migration,GO:1901164
regulation of integrin-mediated signaling pathway,GO:2001044
connective tissue replacement involved in inflammatory response wound healing,GO:0002248
cellular response to UV-A,GO:0071492
negative regulation of metallopeptidase activity,GO:1905049
third ventricle development,GO:0021678
endothelial cell apoptotic process,GO:0072577
apical junction assembly,GO:0043297
'de novo' NAD biosynthetic process from tryptophan,GO:0034354
heterochromatin assembly,GO:0031507
cellular response to hydroperoxide,GO:0071447
negative regulation of epithelial cell apoptotic process,GO:1904036
negative regulation of cellular component movement,GO:0051271
regulation of establishment of planar polarity,GO:0090175
chemorepulsion involved in interneuron migration from the subpallium to the cortex,GO:0021842
neurotransmitter receptor metabolic process,GO:0045213
phosphate ion transport,GO:0006817
negative regulation of interleukin-17 production,GO:0032700
histamine secretion by mast cell,GO:0002553
vesicle targeting,GO:0006903
positive regulation by symbiont of host autophagy,GO:0075044
late nucleophagy,GO:0044805
piecemeal microautophagy of the nucleus,GO:0034727
C-terminal protein lipidation,GO:0006501
positive regulation of protein modification process,GO:0031401
cellular response to morphine,GO:0071315
histone H3-K4 trimethylation,GO:0080182
protein deubiquitination involved in ubiquitin-dependent protein catabolic process,GO:0071947
L-serine transport,GO:0015825
regulation of cellular response to stress,GO:0080135
determination of adult lifespan,GO:0008340
T-helper 17 cell differentiation,GO:0072539
establishment or maintenance of microtubule cytoskeleton polarity,GO:0030951
nucleoside transport,GO:0015858
adenosine transport,GO:0032238
regulation of synaptic vesicle fusion to presynaptic active zone membrane,GO:0031630
response to arsenic-containing substance,GO:0046685
regulation of kinetochore assembly,GO:0090234
visual behavior,GO:0007632
positive regulation of bicellular tight junction assembly,GO:1903348
retinal bipolar neuron differentiation,GO:0060040
response to oxygen-glucose deprivation,GO:0090649
positive regulation of receptor localization to synapse,GO:1902685
attachment of GPI anchor to protein,GO:0016255
triglyceride transport,GO:0034197
interleukin-9-mediated signaling pathway,GO:0038113
regulation of gastrulation,GO:0010470
photoreceptor cell development,GO:0042461
mitochondrial respirasome assembly,GO:0097250
protein-chromophore linkage,GO:0018298
detection of visible light,GO:0009584
photoreceptor cell morphogenesis,GO:0008594
regulation of proton transport,GO:0010155
intracellular pH reduction,GO:0051452
vacuolar acidification,GO:0007035
nerve growth factor signaling pathway,GO:0038180
antigen receptor-mediated signaling pathway,GO:0050851
B cell mediated immunity,GO:0019724
negative regulation of calcium-mediated signaling,GO:0050849
macrophage colony-stimulating factor signaling pathway,GO:0038145
glucose catabolic process,GO:0006007
thiamine metabolic process,GO:0006772
maternal aggressive behavior,GO:0002125
negative regulation of urine volume,GO:0035811
sperm ejaculation,GO:0042713
drinking behavior,GO:0042756
response to ether,GO:0045472
positive regulation of female receptivity,GO:0045925
negative regulation of female receptivity,GO:0007621
positive regulation of cellular pH reduction,GO:0032849
regulation of renal sodium excretion,GO:0035813
penile erection,GO:0043084
negative regulation of transmission of nerve impulse,GO:0051970
positive regulation of mRNA 3'-end processing,GO:0031442
glycerol-3-phosphate metabolic process,GO:0006072
NADH oxidation,GO:0006116
positive regulation of succinate dehydrogenase activity,GO:1904231
positive regulation of metallopeptidase activity,GO:1905050
positive regulation of dendritic cell apoptotic process,GO:2000670
negative regulation of mast cell proliferation,GO:0070667
negative regulation of B cell proliferation,GO:0030889
Fc receptor mediated stimulatory signaling pathway,GO:0002431
tolerance induction to self antigen,GO:0002513
negative regulation of myeloid leukocyte differentiation,GO:0002762
immune response-regulating cell surface receptor signaling pathway,GO:0002768
regulation of B cell apoptotic process,GO:0002902
response to sterol depletion,GO:0006991
regulation of erythrocyte differentiation,GO:0045646
regulation of release of sequestered calcium ion into cytosol,GO:0051279
positive regulation of oligodendrocyte progenitor proliferation,GO:0070447
ciliary neurotrophic factor-mediated signaling pathway,GO:0070120
acrosomal vesicle exocytosis,GO:0060478
secretion,GO:0046903
branched-chain amino acid transport,GO:0015803
mitochondrion to lysosome transport,GO:0099074
positive regulation of dopamine receptor signaling pathway,GO:0060161
regulation of dendritic spine maintenance,GO:1902950
keratinocyte development,GO:0003334
commitment of neuronal cell to specific neuron type in forebrain,GO:0021902
post-embryonic camera-type eye development,GO:0031077
alpha-beta T cell differentiation,GO:0046632
hematopoietic stem cell migration,GO:0035701
T-helper 1 cell lineage commitment,GO:0002296
heart valve morphogenesis,GO:0003179
'de novo' pyrimidine nucleobase biosynthetic process,GO:0006207
regulation of fatty acid beta-oxidation,GO:0031998
regulation of response to food,GO:0032095
voluntary musculoskeletal movement,GO:0050882
regulation of brown fat cell differentiation,GO:0090335
positive regulation of eating behavior,GO:1904000
mitochondrial mRNA catabolic process,GO:0000958
retinal cone cell development,GO:0046549
mitophagy,GO:0000423
positive regulation of vasculogenesis,GO:2001214
positive regulation of histone phosphorylation,GO:0033129
histone H3-S10 phosphorylation,GO:0043987
histone H3-S28 phosphorylation,GO:0043988
regulation of aerobic respiration,GO:1903715
regulation of mitochondrial translation,GO:0070129
negative regulation of synapse maturation,GO:2000297
positive regulation of synaptic plasticity,GO:0031915
cerebellar cortex development,GO:0021695
positive regulation of skeletal muscle acetylcholine-gated channel clustering,GO:1904395
negative regulation of secretion,GO:0051048
cardiac muscle cell myoblast differentiation,GO:0060379
regulation of postsynaptic neurotransmitter receptor internalization,GO:0099149
sinoatrial node cell development,GO:0060931
negative regulation of intracellular estrogen receptor signaling pathway,GO:0033147
regulation of secondary heart field cardioblast proliferation,GO:0003266
spinal cord motor neuron cell fate specification,GO:0021520
positive regulation of T-helper 1 cell differentiation,GO:0045627
negative regulation of T-helper 2 cell differentiation,GO:0045629
gliogenesis,GO:0042063
prolactin secretion,GO:0070459
negative regulation of phospholipase A2 activity,GO:1900138
tachykinin receptor signaling pathway,GO:0007217
detection of abiotic stimulus,GO:0009582
positive regulation of lymphocyte proliferation,GO:0050671
inorganic diphosphate transport,GO:0030505
auditory receptor cell fate commitment,GO:0009912
gamma-delta T cell differentiation,GO:0042492
rRNA base methylation,GO:0070475
protein targeting to ER,GO:0045047
positive regulation of collateral sprouting,GO:0048672
epidermal cell differentiation,GO:0009913
neural fold formation,GO:0001842
embryonic digestive tract morphogenesis,GO:0048557
positive regulation of nitric-oxide synthase biosynthetic process,GO:0051770
PERK-mediated unfolded protein response,GO:0036499
cell adhesion molecule production,GO:0060352
regulation of mitotic metaphase/anaphase transition,GO:0030071
traversing start control point of mitotic cell cycle,GO:0007089
ethanol catabolic process,GO:0006068
glutamine catabolic process,GO:0006543
nucleoside diphosphate phosphorylation,GO:0006165
regulation of mitochondrial ATP synthesis coupled proton transport,GO:1905706
respiratory tube development,GO:0030323
peptide biosynthetic process,GO:0043043
cytokine precursor processing,GO:0140447
nerve growth factor processing,GO:0032455
basement membrane assembly,GO:0070831
pyramidal neuron development,GO:0021860
positive regulation of cytoskeleton organization,GO:0051495
neuron projection guidance,GO:0097485
regulation of osteoblast proliferation,GO:0033688
negative regulation of proteasomal protein catabolic process,GO:1901799
regulation of ceramide biosynthetic process,GO:2000303
positive regulation of mitochondrion organization,GO:0010822
skeletal muscle atrophy,GO:0014732
response to electrical stimulus involved in regulation of muscle adaptation,GO:0014878
negative regulation of smooth muscle cell migration,GO:0014912
flavone metabolic process,GO:0051552
positive regulation of glomerular visceral epithelial cell apoptotic process,GO:1904635
cellular response to ionomycin,GO:1904637
activation of JNKK activity,GO:0007256
forebrain radial glial cell differentiation,GO:0021861
negative regulation of inner ear auditory receptor cell differentiation,GO:0045608
specification of loop of Henle identity,GO:0072086
cellular detoxification of aldehyde,GO:0110095
negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,GO:1903377
protein deglycosylation,GO:0006517
positive regulation of androgen receptor activity,GO:2000825
detoxification of copper ion,GO:0010273
negative regulation of protein acetylation,GO:1901984
positive regulation of mitochondrial electron transport_ NADH to ubiquinone,GO:1902958
negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,GO:2001268
pentose-phosphate shunt_ oxidative branch,GO:0009051
response to iron(III) ion,GO:0010041
NADPH regeneration,GO:0006740
regulation of neural precursor cell proliferation,GO:2000177
bundle of His development,GO:0003166
negative regulation of B cell differentiation,GO:0045578
epithelial cell differentiation involved in mammary gland alveolus development,GO:0061030
positive regulation of transcription involved in G1/S transition of mitotic cell cycle,GO:0071931
positive regulation of hair follicle development,GO:0051798
histone-serine phosphorylation,GO:0035404
neuron cellular homeostasis,GO:0070050
cold acclimation,GO:0009631
CAMKK-AMPK signaling cascade,GO:0061762
mucosal immune response,GO:0002385
regulation of defense response to virus by host,GO:0050691
negative regulation of norepinephrine secretion,GO:0010700
negative regulation of epinephrine secretion,GO:0032811
regulation of ER to Golgi vesicle-mediated transport,GO:0060628
induction of bacterial agglutination,GO:0043152
t-circle formation,GO:0090656
mitotic telomere maintenance via semi-conservative replication,GO:1902990
DNA replication_ removal of RNA primer,GO:0043137
regulation of microtubule depolymerization,GO:0031114
negative regulation of glial cell differentiation,GO:0045686
establishment or maintenance of apical/basal cell polarity,GO:0035088
growth hormone receptor signaling pathway,GO:0060396
cartilage development involved in endochondral bone morphogenesis,GO:0060351
peroxisome fission,GO:0016559
sarcomerogenesis,GO:0048769
regulation of vascular permeability involved in acute inflammatory response,GO:0002528
Roundabout signaling pathway,GO:0035385
response to cortisol,GO:0051414
apoptotic process involved in luteolysis,GO:0061364
negative regulation of lamellipodium assembly,GO:0010593
cellular response to heparin,GO:0071504
negative regulation of neutrophil chemotaxis,GO:0090024
complement activation_ lectin pathway,GO:0001867
regulation of meiotic nuclear division,GO:0040020
establishment of skin barrier,GO:0061436
regulation of epidermal cell division,GO:0010482
glycolipid transport,GO:0046836
spindle assembly involved in female meiosis I,GO:0007057
negative regulation of fibroblast migration,GO:0010764
renal water absorption,GO:0070295
positive regulation of epidermal growth factor-activated receptor activity,GO:0045741
tendon development,GO:0035989
musculoskeletal movement,GO:0050881
vascular associated smooth muscle cell development,GO:0097084
bone growth,GO:0098868
regulation of endothelial tube morphogenesis,GO:1901509
regulation of neuroinflammatory response,GO:0150077
negative regulation of cation channel activity,GO:2001258
cellular ion homeostasis,GO:0006873
hypotonic response,GO:0006971
cellular chloride ion homeostasis,GO:0030644
protein deneddylation,GO:0000338
negative regulation of nucleic acid-templated transcription,GO:1903507
sensory perception of sour taste,GO:0050915
detection of chemical stimulus involved in sensory perception of taste,GO:0050912
centriole assembly,GO:0098534
multi-ciliated epithelial cell differentiation,GO:1903251
positive regulation of insulin-like growth factor receptor signaling pathway,GO:0043568
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,GO:0050428
negative regulation of clathrin-dependent endocytosis,GO:1900186
glycoside catabolic process,GO:0016139
carbon dioxide transport,GO:0015670
protein localization to basolateral plasma membrane,GO:1903361
germinal center formation,GO:0002467
tissue remodeling,GO:0048771
elastin catabolic process,GO:0060309
pancreas morphogenesis,GO:0061113
cellular metal ion homeostasis,GO:0006875
adherens junction assembly,GO:0034333
response to laminar fluid shear stress,GO:0034616
negative regulation of glucose transmembrane transport,GO:0010829
negative regulation of transport,GO:0051051
negative regulation of Golgi to plasma membrane protein transport,GO:0042997
positive regulation of triglyceride catabolic process,GO:0010898
DNA replication_ synthesis of RNA primer,GO:0006269
negative regulation of mast cell activation,GO:0033004
cannabinoid signaling pathway,GO:0038171
negative regulation of action potential,GO:0045759
myelin maintenance,GO:0043217
protein localization to paranode region of axon,GO:0002175
paranodal junction assembly,GO:0030913
regulation of activin receptor signaling pathway,GO:0032925
'de novo' protein folding,GO:0006458
negative regulation of interleukin-1-mediated signaling pathway,GO:2000660
L-alanine catabolic process,GO:0042853
negative regulation of ubiquitin protein ligase activity,GO:1904667
fluid transport,GO:0042044
negative regulation of cell fate commitment,GO:0010454
negative regulation of peptidyl-serine phosphorylation of STAT protein,GO:0033140
pre-replicative complex assembly involved in nuclear cell cycle DNA replication,GO:0006267
cerebral cortex radially oriented cell migration,GO:0021799
forebrain ventricular zone progenitor cell division,GO:0021869
hypothalamus cell differentiation,GO:0021979
protein targeting to lysosome,GO:0006622
regulation of innate immune response,GO:0045088
mitotic DNA replication initiation,GO:1902975
post-anal tail morphogenesis,GO:0036342
regulation of sequestering of zinc ion,GO:0061088
fat pad development,GO:0060613
heme metabolic process,GO:0042168
positive regulation of skeletal muscle tissue regeneration,GO:0043415
regulation of hematopoietic stem cell proliferation,GO:1902033
regulation of amyloid precursor protein biosynthetic process,GO:0042984
UDP-N-acetylglucosamine biosynthetic process,GO:0006048
TRAM-dependent toll-like receptor 4 signaling pathway,GO:0035669
glycerol metabolic process,GO:0006071
regulation of ruffle assembly,GO:1900027
Tie signaling pathway,GO:0048014
tight junction organization,GO:0120193
transcription preinitiation complex assembly,GO:0070897
lens fiber cell apoptotic process,GO:1990086
negative regulation of synapse assembly,GO:0051964
olfactory bulb interneuron development,GO:0021891
positive regulation of heparan sulfate proteoglycan biosynthetic process,GO:0010909
myoblast fate commitment,GO:0048625
regulation of hormone metabolic process,GO:0032350
maintenance of DNA repeat elements,GO:0043570
secretion by cell,GO:0032940
extracellular matrix-cell signaling,GO:0035426
anatomical structure regression,GO:0060033
mammary gland duct morphogenesis,GO:0060603
nuclear pore complex assembly,GO:0051292
lamellipodium morphogenesis,GO:0072673
cellular response to actinomycin D,GO:0072717
regulation of defense response to virus,GO:0050688
regulation of interferon-beta production,GO:0032648
notochord formation,GO:0014028
neurotransmitter receptor transport_ postsynaptic endosome to lysosome,GO:0098943
postsynaptic neurotransmitter receptor diffusion trapping,GO:0098970
neurotransmitter receptor localization to postsynaptic specialization membrane,GO:0099645
regulation of cardiac muscle cell membrane potential,GO:0086036
regulation of cardiac muscle contraction by calcium ion signaling,GO:0010882
cardiac muscle cell contraction,GO:0086003
positive regulation of the force of heart contraction,GO:0098735
negative regulation of transcription initiation from RNA polymerase II promoter,GO:0060633
skeletal muscle organ development,GO:0060538
membrane fission,GO:0090148
CAAX-box protein processing,GO:0071586
positive regulation of low-density lipoprotein particle clearance,GO:1905581
iron ion import across plasma membrane,GO:0098711
leucine catabolic process,GO:0006552
AV node cell to bundle of His cell communication by electrical coupling,GO:0086053
dendritic spine organization,GO:0097061
negative regulation of ERBB signaling pathway,GO:1901185
negative regulation of multicellular organism growth,GO:0040015
positive regulation of epidermis development,GO:0045684
negative regulation of ion transmembrane transport,GO:0034766
regulation of mitotic cell cycle spindle assembly checkpoint,GO:0090266
synaptic signaling,GO:0099536
regulation of hippo signaling,GO:0035330
long-chain fatty acid import into cell,GO:0044539
long-chain fatty acid import across plasma membrane,GO:0015911
lipid transport across blood-brain barrier,GO:1990379
biotin transport,GO:0015878
positive regulation of heat generation,GO:0031652
chylomicron remnant clearance,GO:0034382
very-low-density lipoprotein particle clearance,GO:0034447
triglyceride mobilization,GO:0006642
lipoprotein biosynthetic process,GO:0042158
lipoprotein catabolic process,GO:0042159
maternal placenta development,GO:0001893
leading strand elongation,GO:0006272
response to L-glutamate,GO:1902065
regulation of synapse assembly,GO:0051963
otic vesicle formation,GO:0030916
muscle cell fate commitment,GO:0042693
epidermis morphogenesis,GO:0048730
semicircular canal morphogenesis,GO:0048752
female genitalia morphogenesis,GO:0048807
bud outgrowth involved in lung branching,GO:0060447
prostatic bud formation,GO:0060513
regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling,GO:0060665
Harderian gland development,GO:0070384
axon target recognition,GO:0007412
telencephalon cell migration,GO:0022029
regulation of attachment of spindle microtubules to kinetochore,GO:0051988
response to UV-A,GO:0070141
mitotic G1 DNA damage checkpoint,GO:0031571
re-entry into mitotic cell cycle,GO:0000320
RNA biosynthetic process,GO:0032774
dolichyl diphosphate biosynthetic process,GO:0006489
regulation of platelet activation,GO:0010543
beta selection,GO:0043366
protein C-linked glycosylation via 2'-alpha-mannosyl-L-tryptophan,GO:0018406
regulation of uterine smooth muscle contraction,GO:0070472
pinocytosis,GO:0006907
neurotransmitter metabolic process,GO:0042133
blood vessel maturation,GO:0001955
bone trabecula formation,GO:0060346
regulation of blood coagulation,GO:0030193
positive regulation of transcription from RNA polymerase II promoter by glucose,GO:0000432
negative regulation of glucokinase activity,GO:0033132
neurofilament bundle assembly,GO:0033693
positive regulation of lipophagy,GO:1904504
positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity,GO:1904219
positive regulation of serine C-palmitoyltransferase activity,GO:1904222
positive regulation of corticotropin secretion,GO:0051461
gastric emptying,GO:0035483
negative regulation of necrotic cell death,GO:0060547
cornified envelope assembly,GO:1903575
post-embryonic hemopoiesis,GO:0035166
trachea cartilage development,GO:0060534
response to symbiotic bacterium,GO:0009609
inositol trisphosphate biosynthetic process,GO:0032959
positive regulation of leukocyte cell-cell adhesion,GO:1903039
positive regulation of leukocyte tethering or rolling,GO:1903238
positive regulation of gastro-intestinal system smooth muscle contraction,GO:1904306
negative regulation of Arp2/3 complex-mediated actin nucleation,GO:0034316
regulation of Arp2/3 complex-mediated actin nucleation,GO:0034315
cellular response to decreased oxygen levels,GO:0036294
replication fork arrest,GO:0043111
negative regulation of nuclear-transcribed mRNA catabolic process_ nonsense-mediated decay,GO:2000623
metanephric mesenchymal cell differentiation,GO:0072162
embryonic skeletal limb joint morphogenesis,GO:0036023
regulation of signaling receptor activity,GO:0010469
dentinogenesis,GO:0097187
negative regulation of heart contraction,GO:0045822
regulation of flagellated sperm motility,GO:1901317
maltose metabolic process,GO:0000023
myoblast proliferation,GO:0051450
free ubiquitin chain polymerization,GO:0010994
RIG-I signaling pathway,GO:0039529
negative regulation of dendritic spine maintenance,GO:1902951
regulation of glutamate receptor signaling pathway,GO:1900449
positive regulation of transcription via serum response element binding,GO:0010735
positive regulation of humoral immune response,GO:0002922
regulation of inner ear auditory receptor cell differentiation,GO:0045607
prostate gland growth,GO:0060736
epithelial cell differentiation involved in prostate gland development,GO:0060742
negative regulation of autophagosome maturation,GO:1901097
ureter development,GO:0072189
common bile duct development,GO:0061009
positive regulation of cell projection organization,GO:0031346
regulation of cell cycle arrest,GO:0071156
regulation of integrin activation,GO:0033623
lipid hydroxylation,GO:0002933
negative regulation of ruffle assembly,GO:1900028
kidney epithelium development,GO:0072073
olfactory nerve development,GO:0021553
establishment of cell polarity involved in ameboidal cell migration,GO:0003365
hair cell differentiation,GO:0035315
cellular response to indole-3-methanol,GO:0071681
regulation of fibroblast proliferation,GO:0048145
regulation of centromeric sister chromatid cohesion,GO:0070602
endodermal cell fate commitment,GO:0001711
dorsal/ventral axis specification,GO:0009950
positive regulation of epithelial cell differentiation,GO:0030858
genitalia morphogenesis,GO:0035112
trachea morphogenesis,GO:0060439
lung-associated mesenchyme development,GO:0060484
lung induction,GO:0060492
positive regulation of epithelial cell proliferation involved in prostate gland development,GO:0060769
mesenchymal cell proliferation involved in lung development,GO:0060916
fungiform papilla formation,GO:0061198
dorsal root ganglion development,GO:1990791
regulation of cell communication by electrical coupling,GO:0010649
mitochondrial transmembrane transport,GO:1990542
serine import into mitochondrion,GO:0140300
response to methotrexate,GO:0031427
response to follicle-stimulating hormone,GO:0032354
retrograde axonal transport of mitochondrion,GO:0098958
positive regulation of centrosome duplication,GO:0010825
positive regulation of gene silencing by miRNA,GO:2000637
regulation of neuronal action potential,GO:0098908
negative regulation of mRNA catabolic process,GO:1902373
negative regulation of synaptic vesicle exocytosis,GO:2000301
regulation of respiratory system process,GO:0044065
substrate-dependent cell migration,GO:0006929
cellular response to oxidised low-density lipoprotein particle stimulus,GO:0140052
toll-like receptor TLR6:TLR2 signaling pathway,GO:0038124
cellular response to diacyl bacterial lipopeptide,GO:0071726
cellular response to bacterial lipopeptide,GO:0071221
response to bacterial lipoprotein,GO:0032493
nitric oxide metabolic process,GO:0046209
bundle of His cell-Purkinje myocyte adhesion involved in cell communication,GO:0086073
positive regulation by virus of viral protein levels in host cell,GO:0046726
endosomal lumen acidification,GO:0048388
proximal tubule development,GO:0072014
clustering of voltage-gated sodium channels,GO:0045162
negative regulation of actin filament depolymerization,GO:0030835
regulation of DNA stability,GO:0097752
regulation of cellular metabolic process,GO:0031323
peptidyl-cysteine S-nitrosylation,GO:0018119
positive regulation of guanylate cyclase activity,GO:0031284
regulation of fatty acid oxidation,GO:0046320
porphyrin-containing compound biosynthetic process,GO:0006779
response to platinum ion,GO:0070541
tRNA aminoacylation,GO:0043039
alanyl-tRNA aminoacylation,GO:0006419
notochord morphogenesis,GO:0048570
lens fiber cell morphogenesis,GO:0070309
snRNA catabolic process,GO:0016076
trans-synaptic signaling by trans-synaptic complex_ modulating synaptic transmission,GO:0099557
desmosome organization,GO:0002934
regulation of microglial cell activation,GO:1903978
5S class rRNA transcription by RNA polymerase III,GO:0042791
tRNA transcription by RNA polymerase III,GO:0042797
constitutive secretory pathway,GO:0045054
regulation of acute inflammatory response,GO:0002673
negative regulation of neuroinflammatory response,GO:0150079
pulmonary valve development,GO:0003177
negative regulation of extracellular matrix constituent secretion,GO:0003332
positive regulation of apoptotic process involved in morphogenesis,GO:1902339
regulation of T cell cytokine production,GO:0002724
regulation of RNA biosynthetic process,GO:2001141
negative regulation of systemic arterial blood pressure,GO:0003085
cellular aromatic compound metabolic process,GO:0006725
membrane lipid catabolic process,GO:0046466
retina vasculature development in camera-type eye,GO:0061298
endothelial cell-cell adhesion,GO:0071603
T cell migration,GO:0072678
epithelial cell maturation,GO:0002070
regulation of MAP kinase activity,GO:0043405
regulation of nucleotide-binding oligomerization domain containing signaling pathway,GO:0070424
regulation of RIG-I signaling pathway,GO:0039535
positive regulation of apoptotic process involved in mammary gland involution,GO:0060058
negative regulation of chondrocyte proliferation,GO:1902731
negative regulation of T-helper 17 cell differentiation,GO:2000320
positive regulation of hemoglobin biosynthetic process,GO:0046985
negative regulation of response to cytokine stimulus,GO:0060761
cellular response to cycloheximide,GO:0071409
negative regulation of chemokine (C-X-C motif) ligand 2 production,GO:2000342
heart process,GO:0003015
reactive oxygen species biosynthetic process,GO:1903409
chaperone-mediated protein transport,GO:0072321
regulation of dopamine uptake involved in synaptic transmission,GO:0051584
positive regulation of tight junction disassembly,GO:1905075
positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,GO:1905007
cellular sphingolipid homeostasis,GO:0090156
negative regulation of ceramide biosynthetic process,GO:1900060
ectopic germ cell programmed cell death,GO:0035234
embryonic organ morphogenesis,GO:0048562
pharynx development,GO:0060465
regulation of acetyl-CoA biosynthetic process from pyruvate,GO:0010510
citrate metabolic process,GO:0006101
coenzyme A metabolic process,GO:0015936
neuroblast proliferation,GO:0007405
postsynaptic intermediate filament cytoskeleton organization,GO:0099185
intermediate filament bundle assembly,GO:0045110
positive regulation of extracellular matrix disassembly,GO:0090091
regulation of hair cycle,GO:0042634
negative regulation of glucocorticoid receptor signaling pathway,GO:2000323
photoperiodism,GO:0009648
cellular response to oxygen-glucose deprivation,GO:0090650
cholesterol esterification,GO:0034435
sequestering of TGFbeta in extracellular matrix,GO:0035583
miRNA loading onto RISC involved in gene silencing by miRNA,GO:0035280
regulation of lipopolysaccharide-mediated signaling pathway,GO:0031664
cholesterol import,GO:0070508
negative regulation of receptor signaling pathway via JAK-STAT,GO:0046426
regulation of insulin-like growth factor receptor signaling pathway,GO:0043567
cell-cell signaling involved in cardiac conduction,GO:0086019
histone H4-R3 methylation,GO:0043985
regulation of chromosome segregation,GO:0051983
response to molecule of bacterial origin,GO:0002237
lipid glycosylation,GO:0030259
ventral spinal cord development,GO:0021517
recognition of apoptotic cell,GO:0043654
positive regulation of amyloid precursor protein biosynthetic process,GO:0042986
follicle-stimulating hormone signaling pathway,GO:0042699
negative regulation of erythrocyte differentiation,GO:0045647
sensory organ development,GO:0007423
brain segmentation,GO:0035284
piRNA biosynthetic process,GO:1990511
myoblast fusion involved in skeletal muscle regeneration,GO:0014905
cerebellar granular layer development,GO:0021681
endomitotic cell cycle,GO:0007113
cellular response to vitamin D,GO:0071305
negative regulation of DNA recombination,GO:0045910
somatic recombination of immunoglobulin gene segments,GO:0016447
positive regulation of isotype switching to IgA isotypes,GO:0048298
positive regulation of isotype switching to IgG isotypes,GO:0048304
negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,GO:1990441
ammonium transport,GO:0015696
ammonium transmembrane transport,GO:0072488
modulation of process of other organism,GO:0035821
platelet activating factor biosynthetic process,GO:0006663
asparagine transport,GO:0006867
T cell apoptotic process,GO:0070231
positive regulation of alkaline phosphatase activity,GO:0010694
positive regulation of transmission of nerve impulse,GO:0051971
spermidine biosynthetic process,GO:0008295
putrescine biosynthetic process,GO:0009446
positive regulation of phosphatidylcholine biosynthetic process,GO:2001247
galactosylceramide biosynthetic process,GO:0006682
cholesterol biosynthetic process via desmosterol,GO:0033489
cholesterol biosynthetic process via lathosterol,GO:0033490
protoporphyrinogen IX biosynthetic process,GO:0006782
extracellular polysaccharide biosynthetic process,GO:0045226
amelogenesis,GO:0097186
reproductive structure development,GO:0048608
morphogenesis of an epithelial fold,GO:0060571
cytoplasmic actin-based contraction involved in cell motility,GO:0060327
IMP catabolic process,GO:0006204
