process,go,genes,id
regulation of plasma lipoprotein particle levels,GO:0097006,ENSG00000062282;ENSG00000111684;ENSG00000130203;,4479
cellular response to oleic acid,GO:0071400,ENSG00000062282;ENSG00000021826;ENSG00000130707;,4480
negative regulation of fatty acid oxidation,GO:0046322,ENSG00000062282;ENSG00000136044;ENSG00000076555;ENSG00000089163;ENSG00000072778;ENSG00000125398;ENSG00000115361;,4481
regulation of lipoprotein metabolic process,GO:0050746,ENSG00000062282;ENSG00000101670;ENSG00000130173;,4482
multivesicular body sorting pathway,GO:0071985,ENSG00000198382;ENSG00000110723;ENSG00000069974;ENSG00000131475;ENSG00000159210;ENSG00000041353;ENSG00000115561;ENSG00000145016;ENSG00000009844;ENSG00000086065;ENSG00000102362;,4483
positive regulation of autophagosome maturation,GO:1901098,ENSG00000198382;ENSG00000038532;ENSG00000176994;ENSG00000136436;ENSG00000163820;ENSG00000169252;ENSG00000237693;,4484
primary heart field specification,GO:0003138,ENSG00000085741;ENSG00000114251;ENSG00000081189;,4485
secondary heart field specification,GO:0003139,ENSG00000085741;ENSG00000125378;ENSG00000166823;ENSG00000168646;ENSG00000081479;ENSG00000114251;ENSG00000168214;ENSG00000016082;ENSG00000081189;ENSG00000082014;ENSG00000160973;,4486
paraxial mesoderm formation,GO:0048341,ENSG00000085741;ENSG00000135100;ENSG00000176692;ENSG00000114251;ENSG00000138795;ENSG00000054598;ENSG00000131558;,4487
notochord morphogenesis,GO:0048570,ENSG00000085741;ENSG00000183691;ENSG00000114251;ENSG00000147050;ENSG00000142627;,4488
cloacal septation,GO:0060197,ENSG00000085741;ENSG00000125378;ENSG00000073282;,4489
ureteric bud morphogenesis,GO:0060675,ENSG00000085741;ENSG00000114315;ENSG00000184292;,4490
mesonephric duct development,GO:0072177,ENSG00000085741;ENSG00000008710;ENSG00000141449;ENSG00000118762;,4491
positive regulation of protein kinase C signaling,GO:0090037,ENSG00000085741;ENSG00000258839;ENSG00000063176;ENSG00000101017;ENSG00000184381;ENSG00000114251;ENSG00000164199;ENSG00000037280;ENSG00000112715;ENSG00000120907;,4492
negative regulation of fibroblast growth factor production,GO:0090272,ENSG00000085741;ENSG00000102760;ENSG00000077782;,4493
regulation of transforming growth factor beta activation,GO:1901388,ENSG00000137507;ENSG00000049323;ENSG00000115221;ENSG00000138448;ENSG00000105855;,4494
corpus callosum morphogenesis,GO:0021540,ENSG00000182704;ENSG00000111678;ENSG00000100503;ENSG00000007168;ENSG00000169554;ENSG00000198198;,4495
anterior commissure morphogenesis,GO:0021960,ENSG00000182704;ENSG00000174013;ENSG00000112333;ENSG00000221866;ENSG00000147862;,4496
glycoprotein biosynthetic process,GO:0009101,ENSG00000198488;ENSG00000110080;ENSG00000157350;ENSG00000181027;ENSG00000154252;ENSG00000133424;ENSG00000118017;ENSG00000113384;ENSG00000145901;ENSG00000197093;ENSG00000086062;ENSG00000187210;,4497
vesicle transport along actin filament,GO:0030050,ENSG00000137474;ENSG00000166866;ENSG00000174527;ENSG00000128833;ENSG00000197535;ENSG00000157483;ENSG00000197879;ENSG00000091536;ENSG00000176658;ENSG00000167306;ENSG00000142347;ENSG00000130402;ENSG00000169994;ENSG00000128641;ENSG00000196586;ENSG00000136286;ENSG00000106299;ENSG00000137942;,4498
actin filament-based movement,GO:0030048,ENSG00000137474;ENSG00000197616;ENSG00000159251;ENSG00000197535;ENSG00000157483;ENSG00000133026;ENSG00000264424;ENSG00000109063;ENSG00000171475;ENSG00000099331;ENSG00000105357;ENSG00000115935;ENSG00000128641;ENSG00000100345;ENSG00000196586;ENSG00000122574;ENSG00000106299;ENSG00000015285;ENSG00000158195;,4499
phagolysosome assembly,GO:0001845,ENSG00000137474;ENSG00000089041;ENSG00000102879;ENSG00000101955;,4500
sensory perception,GO:0007600,ENSG00000137474;ENSG00000187688;ENSG00000169006;ENSG00000101327;ENSG00000125510;ENSG00000128271;ENSG00000185313;ENSG00000112038;ENSG00000213199;ENSG00000168081;ENSG00000082556;ENSG00000181195;ENSG00000130045;,4501
signal transduction by protein phosphorylation,GO:0023014,ENSG00000149269;ENSG00000165682;ENSG00000135090;ENSG00000137843;ENSG00000149930;ENSG00000141503;ENSG00000160551;ENSG00000130669;ENSG00000071054;ENSG00000198648;ENSG00000135932;ENSG00000101349;ENSG00000101109;ENSG00000154310;ENSG00000180370;ENSG00000047936;ENSG00000104375;ENSG00000123572;ENSG00000077264;,4502
stress-activated protein kinase signaling cascade,GO:0031098,ENSG00000149269;ENSG00000135090;ENSG00000015133;ENSG00000137843;ENSG00000149930;ENSG00000141503;ENSG00000160551;ENSG00000136504;ENSG00000130669;ENSG00000071054;ENSG00000101349;ENSG00000101109;ENSG00000067560;ENSG00000154310;ENSG00000180370;ENSG00000187871;ENSG00000085662;ENSG00000104375;ENSG00000123572;ENSG00000077264;,4503
negative regulation of cell proliferation involved in contact inhibition,GO:0060244,ENSG00000149269;ENSG00000078098;ENSG00000101955;,4504
cell volume homeostasis,GO:0006884,ENSG00000074201;ENSG00000111664;ENSG00000111199;ENSG00000089041;ENSG00000140199;ENSG00000074803;ENSG00000070915;ENSG00000205250;ENSG00000124067;ENSG00000104783;ENSG00000124140;ENSG00000221955;ENSG00000087274;ENSG00000113504;ENSG00000064651;ENSG00000240583;ENSG00000146828;ENSG00000136802;ENSG00000196632;ENSG00000011021;,4505
water homeostasis,GO:0030104,ENSG00000178301;ENSG00000103569;ENSG00000171885;ENSG00000049759;ENSG00000106128;,4506
nucleosome positioning,GO:0016584,ENSG00000048649;ENSG00000102974;ENSG00000006712;ENSG00000189060;ENSG00000184897;ENSG00000178804;ENSG00000153147;ENSG00000164256;ENSG00000124610;ENSG00000187837;ENSG00000187475;ENSG00000168298;ENSG00000124575;ENSG00000184357;,4507
regulation of lipid biosynthetic process,GO:0046890,ENSG00000151365;ENSG00000135446;ENSG00000124253;ENSG00000213689;ENSG00000174697;ENSG00000165175;ENSG00000071889;,4508
regulation of triglyceride biosynthetic process,GO:0010866,ENSG00000151365;ENSG00000125730;ENSG00000197296;,4509
oligosaccharide-lipid intermediate biosynthetic process,GO:0006490,ENSG00000159063;ENSG00000253710;ENSG00000119523;ENSG00000088035;,4510
dolichol-linked oligosaccharide biosynthetic process,GO:0006488,ENSG00000159063;ENSG00000086848;ENSG00000172269;ENSG00000139133;ENSG00000175548;ENSG00000033011;ENSG00000129255;ENSG00000182858;ENSG00000163933;ENSG00000214160;ENSG00000128039;ENSG00000119523;ENSG00000101901;ENSG00000172339;ENSG00000088035;,4511
positive regulation of gastrulation,GO:2000543,ENSG00000149256;ENSG00000165588;ENSG00000143867;ENSG00000125798;ENSG00000204628;,4512
central nervous system myelin formation,GO:0032289,ENSG00000149256;ENSG00000104884;ENSG00000137462;ENSG00000107331;,4513
angiogenesis involved in wound healing,GO:0060055,ENSG00000137509;ENSG00000134954;ENSG00000006210;ENSG00000259207;ENSG00000177464;ENSG00000233276;ENSG00000173402;ENSG00000051382;ENSG00000173083;ENSG00000112658;ENSG00000086062;,4514
regulation of thyroid hormone mediated signaling pathway,GO:0002155,ENSG00000137509;ENSG00000126351;ENSG00000084676;,4515
regulation of reactive oxygen species metabolic process,GO:2000377,ENSG00000137509;ENSG00000110330;ENSG00000197580;ENSG00000111206;ENSG00000181852;ENSG00000150907;ENSG00000129465;ENSG00000167186;ENSG00000115204;ENSG00000138061;ENSG00000153823;ENSG00000242372;ENSG00000114383;ENSG00000168374;ENSG00000175193;ENSG00000145335;ENSG00000137275;ENSG00000232810;ENSG00000057663;ENSG00000118689;ENSG00000185345;ENSG00000164543;ENSG00000067992;ENSG00000158828;,4516
mitotic cell cycle arrest,GO:0071850,ENSG00000165490;ENSG00000111276;ENSG00000102760;ENSG00000167967;ENSG00000141510;ENSG00000179271;ENSG00000138035;ENSG00000078098;ENSG00000120129;ENSG00000124762;ENSG00000187391;ENSG00000147316;ENSG00000167034;ENSG00000081377;ENSG00000079335;ENSG00000116717;,4517
regulation of DNA stability,GO:0097752,ENSG00000165490;ENSG00000170967;ENSG00000022277;ENSG00000197312;,4518
cellular response to potassium ion,GO:0035865,ENSG00000150672;ENSG00000196557;ENSG00000132535;ENSG00000138380;ENSG00000142168;ENSG00000109819;ENSG00000145708;ENSG00000064651;ENSG00000160882;ENSG00000179142;ENSG00000185122;,4519
receptor localization to synapse,GO:0097120,ENSG00000150672;ENSG00000213463;ENSG00000132535;ENSG00000154240;ENSG00000166342;ENSG00000179915;ENSG00000169760;ENSG00000075711;ENSG00000189056;ENSG00000180900;ENSG00000082458;,4520
negative regulation of receptor-mediated endocytosis,GO:0048261,ENSG00000073921;ENSG00000110245;ENSG00000165527;ENSG00000130208;ENSG00000234906;ENSG00000136238;ENSG00000154710;,4521
amyloid-beta clearance by transcytosis,GO:0150093,ENSG00000073921;ENSG00000123384;ENSG00000103769;ENSG00000141367;ENSG00000185236;ENSG00000144566;ENSG00000163956;,4522
regulation of vesicle size,GO:0097494,ENSG00000073921;ENSG00000124209;ENSG00000161203;ENSG00000164961;ENSG00000169213;,4523
histone H3-K27 methylation,GO:0070734,ENSG00000074266;ENSG00000178691;ENSG00000108799;ENSG00000204371;ENSG00000106462;ENSG00000181090;,4524
positive regulation of histone H3-K27 methylation,GO:0061087,ENSG00000074266;ENSG00000112511;ENSG00000119403;ENSG00000147162;ENSG00000143033;,4525
positive regulation of neuron projection arborization,GO:0150012,ENSG00000174804;ENSG00000155974;ENSG00000132535;ENSG00000004975;ENSG00000114251;ENSG00000161202;ENSG00000073803;ENSG00000107404;,4526
response to food,GO:0032094,ENSG00000166575;ENSG00000204583;ENSG00000142208;ENSG00000175344;ENSG00000140465;ENSG00000176387;ENSG00000072310;ENSG00000184502;ENSG00000131482;ENSG00000005381;ENSG00000021826;ENSG00000101405;ENSG00000118702;ENSG00000121853;ENSG00000112964;ENSG00000196748;ENSG00000204140;ENSG00000137392;ENSG00000112038;ENSG00000148339;ENSG00000160211;ENSG00000155380;ENSG00000142867;,4527
endosome to melanosome transport,GO:0035646,ENSG00000123892;ENSG00000135404;ENSG00000104164;ENSG00000166747;ENSG00000065000;ENSG00000072958;ENSG00000105186;ENSG00000189114;ENSG00000188428;ENSG00000118508;,4528
positive regulation of microglial cell activation,GO:1903980,ENSG00000109861;ENSG00000118113;ENSG00000188906;ENSG00000035720;ENSG00000095970;ENSG00000146216;ENSG00000184599;,4529
regulation of postsynaptic cytosolic calcium ion concentration,GO:0099566,ENSG00000168959;ENSG00000100678;ENSG00000197535;ENSG00000118160;ENSG00000183023;ENSG00000150995;ENSG00000114251;ENSG00000155511;ENSG00000152822;ENSG00000188763;ENSG00000104327;,4530
trans-synaptic signaling by endocannabinoid_ modulating synaptic transmission,GO:0099553,ENSG00000168959;ENSG00000181104;ENSG00000118432;,4531
melanin biosynthetic process,GO:0042438,ENSG00000077498;ENSG00000185664;ENSG00000080166;ENSG00000104044;ENSG00000197535;ENSG00000258839;ENSG00000040531;ENSG00000101440;ENSG00000099977;ENSG00000144935;ENSG00000164175;ENSG00000107165;ENSG00000125931;,4532
eye pigment biosynthetic process,GO:0006726,ENSG00000077498;ENSG00000104044;ENSG00000101850;,4533
heart process,GO:0003015,ENSG00000086991;ENSG00000137693;ENSG00000213689;ENSG00000018408;ENSG00000170624;ENSG00000010810;ENSG00000127125;,4534
homocysteine metabolic process,GO:0050667,ENSG00000086991;ENSG00000015413;ENSG00000021826;ENSG00000160200;ENSG00000124275;ENSG00000146085;ENSG00000177000;,4535
positive regulation of DNA biosynthetic process,GO:2000573,ENSG00000086991;ENSG00000102760;ENSG00000141480;ENSG00000105287;ENSG00000197122;ENSG00000100311;ENSG00000138685;ENSG00000113721;ENSG00000160867;ENSG00000198563;ENSG00000112562;ENSG00000019991;ENSG00000120899;ENSG00000136997;ENSG00000077264;,4536
neurotransmitter catabolic process,GO:0042135,ENSG00000077616;ENSG00000175785;ENSG00000183044;ENSG00000093010;ENSG00000206561;ENSG00000112294;ENSG00000087085;ENSG00000189221;ENSG00000069535;,4537
regulation of centrosome duplication,GO:0010824,ENSG00000110172;ENSG00000126215;ENSG00000131165;ENSG00000141577;ENSG00000255112;ENSG00000119541;ENSG00000130724;ENSG00000178295;ENSG00000082898;ENSG00000115561;ENSG00000222014;ENSG00000101421;ENSG00000170248;ENSG00000083937;ENSG00000181163;ENSG00000170927;ENSG00000164695;ENSG00000086065;ENSG00000159069;,4538
negative regulation of Rho-dependent protein serine/threonine kinase activity,GO:2000299,ENSG00000110172;ENSG00000105538;ENSG00000173706;,4539
positive regulation of circadian sleep/wake cycle_ non-REM sleep,GO:0046010,ENSG00000134640;ENSG00000157017;ENSG00000185149;ENSG00000106128;,4540
negative regulation of transmission of nerve impulse,GO:0051970,ENSG00000134640;ENSG00000166148;ENSG00000161610;ENSG00000101200;ENSG00000145888;,4541
regulation of neuronal action potential,GO:0098908,ENSG00000134640;ENSG00000114279;ENSG00000102081;,4542
L-alanine transport,GO:0015808,ENSG00000180773;ENSG00000103042;ENSG00000115902;ENSG00000188338;ENSG00000186334;ENSG00000186335;ENSG00000123643;,4543
proline transport,GO:0015824,ENSG00000180773;ENSG00000072041;ENSG00000115902;ENSG00000163817;ENSG00000011083;ENSG00000186335;ENSG00000123643;ENSG00000197106;,4544
de novo centriole assembly involved in multi-ciliated epithelial cell differentiation,GO:0098535,ENSG00000165325;ENSG00000103995;ENSG00000162004;ENSG00000182923;ENSG00000142731;,4545
multi-ciliated epithelial cell differentiation,GO:1903251,ENSG00000165325;ENSG00000165533;ENSG00000205250;ENSG00000234602;ENSG00000152669;,4546
centriole replication,GO:0007099,ENSG00000165325;ENSG00000123374;ENSG00000151849;ENSG00000103995;ENSG00000103540;ENSG00000198920;ENSG00000170037;ENSG00000177143;ENSG00000176225;ENSG00000075702;ENSG00000182923;ENSG00000174799;ENSG00000142731;ENSG00000112877;ENSG00000136861;ENSG00000147400;ENSG00000156876;,4547
positive regulation of centriole elongation,GO:1903724,ENSG00000166004;ENSG00000151849;ENSG00000119541;ENSG00000168944;,4548
positive regulation of establishment of protein localization,GO:1904951,ENSG00000166004;ENSG00000151849;ENSG00000103647;ENSG00000174799;ENSG00000168944;ENSG00000184489;,4549
positive regulation of centrosome duplication,GO:0010825,ENSG00000166004;ENSG00000134318;ENSG00000164087;ENSG00000168944;,4550
ventral spinal cord development,GO:0021517,ENSG00000214376;ENSG00000204843;ENSG00000074047;ENSG00000189056;ENSG00000147852;ENSG00000173406;,4551
positive regulation of interleukin-1 secretion,GO:0050716,ENSG00000110218;ENSG00000154143;ENSG00000073150;,4552
telomeric 3' overhang formation,GO:0031860,ENSG00000020922;ENSG00000113522;ENSG00000104320;ENSG00000118655;,4553
positive regulation of telomere maintenance,GO:0032206,ENSG00000020922;ENSG00000140464;ENSG00000077463;ENSG00000258366;ENSG00000163938;ENSG00000174953;ENSG00000113522;ENSG00000204569;ENSG00000104320;ENSG00000085224;,4554
regulation of mitotic recombination,GO:0000019,ENSG00000020922;ENSG00000104884;ENSG00000113522;,4555
L-fucose catabolic process,GO:0042355,ENSG00000196371;ENSG00000033170;ENSG00000156413;ENSG00000130383;ENSG00000176920;ENSG00000174951;ENSG00000172461;ENSG00000172728;ENSG00000180549;,4556
regulation of leukocyte cell-cell adhesion,GO:1903037,ENSG00000196371;ENSG00000172461;ENSG00000180549;,4557
establishment of cell polarity involved in ameboidal cell migration,GO:0003365,ENSG00000166025;ENSG00000114019;ENSG00000126016;,4558
regulation of response to reactive oxygen species,GO:1901031,ENSG00000149212;ENSG00000080546;ENSG00000130766;,4559
negative regulation of TORC1 signaling,GO:1904262,ENSG00000149212;ENSG00000149311;ENSG00000111203;ENSG00000174206;ENSG00000176641;ENSG00000118046;ENSG00000118162;ENSG00000239282;ENSG00000100150;ENSG00000052795;ENSG00000217128;ENSG00000080546;ENSG00000164603;ENSG00000130766;ENSG00000198198;,4560
cellular response to leucine,GO:0071233,ENSG00000149212;ENSG00000159459;ENSG00000141564;ENSG00000099910;ENSG00000133706;ENSG00000024048;ENSG00000025039;ENSG00000080546;ENSG00000130766;ENSG00000198793;,4561
cellular response to leucine starvation,GO:1990253,ENSG00000149212;ENSG00000089154;ENSG00000128829;ENSG00000154059;ENSG00000133706;ENSG00000025039;ENSG00000080546;ENSG00000083750;ENSG00000130766;ENSG00000198793;,4562
regulation of phosphatidylinositol dephosphorylation,GO:0060304,ENSG00000087053;ENSG00000184984;ENSG00000108389;ENSG00000100330;ENSG00000104643;ENSG00000063601;,4563
positive regulation of early endosome to late endosome transport,GO:2000643,ENSG00000087053;ENSG00000137710;ENSG00000160695;ENSG00000080371;ENSG00000076201;ENSG00000153071;ENSG00000092820;ENSG00000147065;,4564
negative regulation of vascular smooth muscle contraction,GO:1904694,ENSG00000165895;ENSG00000128512;ENSG00000147459;,4565
regulation of epithelial cell proliferation,GO:0050678,ENSG00000082175;ENSG00000166225;ENSG00000136160;ENSG00000126778;ENSG00000100625;ENSG00000166949;ENSG00000206075;ENSG00000205581;ENSG00000114315;ENSG00000253729;ENSG00000148400;ENSG00000184292;ENSG00000197921;,4566
progesterone receptor signaling pathway,GO:0050847,ENSG00000082175;ENSG00000137693;ENSG00000114062;ENSG00000069869;ENSG00000167085;ENSG00000132471;ENSG00000197122;ENSG00000124496;ENSG00000104517;,4567
tertiary branching involved in mammary gland duct morphogenesis,GO:0060748,ENSG00000082175;ENSG00000169083;ENSG00000162552;,4568
negative regulation of dendrite morphogenesis,GO:0050774,ENSG00000137672;ENSG00000100968;ENSG00000115297;ENSG00000125968;ENSG00000128245;ENSG00000114745;ENSG00000138814;ENSG00000109756;ENSG00000072315;,4569
intestinal epithelial cell development,GO:0060576,ENSG00000137693;ENSG00000078237;ENSG00000102554;ENSG00000197122;ENSG00000109705;ENSG00000134352;ENSG00000124664;ENSG00000057657;ENSG00000106392;ENSG00000181704;,4570
regulation of stem cell proliferation,GO:0072091,ENSG00000137693;ENSG00000185650;ENSG00000203883;ENSG00000186575;ENSG00000164104;ENSG00000164736;ENSG00000126070;,4571
regulation of keratinocyte proliferation,GO:0010837,ENSG00000137693;ENSG00000184304;ENSG00000185650;ENSG00000127152;ENSG00000128016;ENSG00000125850;ENSG00000124193;,4572
lung epithelial cell differentiation,GO:0060487,ENSG00000137693;ENSG00000139352;ENSG00000129514;ENSG00000151748;ENSG00000125398;ENSG00000083307;ENSG00000095209;,4573
cardiac muscle tissue regeneration,GO:0061026,ENSG00000137693;ENSG00000178568;ENSG00000136574;,4574
positive regulation of stem cell population maintenance,GO:1902459,ENSG00000137693;ENSG00000089094;ENSG00000119715;ENSG00000124151;ENSG00000084093;ENSG00000181315;ENSG00000147596;,4575
regulation of cysteine-type endopeptidase activity,GO:2000116,ENSG00000023445;ENSG00000110330;ENSG00000240065;,4576
regulation of nucleotide-binding oligomerization domain containing signaling pathway,GO:0070424,ENSG00000023445;ENSG00000110330;ENSG00000101966;,4577
inhibition of cysteine-type endopeptidase activity involved in apoptotic process,GO:1990001,ENSG00000023445;ENSG00000110330;ENSG00000140939;ENSG00000126453;ENSG00000101197;ENSG00000101966;,4578
regulation of toll-like receptor signaling pathway,GO:0034121,ENSG00000023445;ENSG00000110330;ENSG00000091831;ENSG00000135218;ENSG00000147324;ENSG00000162676;,4579
regulation of RIG-I signaling pathway,GO:0039535,ENSG00000023445;ENSG00000110330;ENSG00000105373;,4580
positive regulation of protein K63-linked ubiquitination,GO:1902523,ENSG00000110330;ENSG00000167207;ENSG00000215301;ENSG00000134242;,4581
positive regulation of protein monoubiquitination,GO:1902527,ENSG00000110330;ENSG00000187790;ENSG00000170315;ENSG00000249915;ENSG00000162517;,4582
positive regulation of neuroinflammatory response,GO:0150078,ENSG00000118113;ENSG00000150782;ENSG00000176046;ENSG00000125538;ENSG00000232810;ENSG00000136244;ENSG00000137033;,4583
positive regulation of reactive oxygen species biosynthetic process,GO:1903428,ENSG00000118113;ENSG00000069974;ENSG00000051523;ENSG00000068024;ENSG00000174130;ENSG00000118689;ENSG00000135218;ENSG00000181790;ENSG00000136869;ENSG00000176884;ENSG00000116288;,4584
regulation of microglial cell activation,GO:1903978,ENSG00000118113;ENSG00000149311;ENSG00000176170;ENSG00000136244;,4585
response to amyloid-beta,GO:1904645,ENSG00000149968;ENSG00000137745;ENSG00000175344;ENSG00000087245;ENSG00000141837;ENSG00000171867;ENSG00000100985;ENSG00000204305;ENSG00000010810;ENSG00000122679;ENSG00000004948;ENSG00000106976;ENSG00000148408;,4586
protein neddylation,GO:0045116,ENSG00000137692;ENSG00000150401;ENSG00000129559;ENSG00000188215;ENSG00000159593;ENSG00000130725;ENSG00000184182;ENSG00000100387;ENSG00000144744;ENSG00000114125;ENSG00000043093;ENSG00000109184;ENSG00000204614;,4587
intraciliary retrograde transport,GO:0035721,ENSG00000187240;ENSG00000119650;ENSG00000187535;ENSG00000118965;ENSG00000138036;ENSG00000123607;ENSG00000168026;ENSG00000163913;ENSG00000157796;ENSG00000112144;,4588
positive regulation of monocyte extravasation,GO:2000439,ENSG00000170962;ENSG00000121807;ENSG00000204305;,4589
cellular response to hydroxyurea,GO:0072711,ENSG00000170967;ENSG00000013573;ENSG00000111602;ENSG00000185115;ENSG00000051180;ENSG00000197299;ENSG00000022277;ENSG00000213689;ENSG00000164808;ENSG00000085224;ENSG00000102081;ENSG00000197312;,4590
positive regulation of tumor necrosis factor-mediated signaling pathway,GO:1903265,ENSG00000196954;ENSG00000137752;ENSG00000151694;ENSG00000214078;ENSG00000078140;ENSG00000137275;ENSG00000204389;ENSG00000204388;ENSG00000185345;ENSG00000119401;ENSG00000127191;,4591
inhibition of cysteine-type endopeptidase activity,GO:0097340,ENSG00000204397;ENSG00000255501;ENSG00000105483;ENSG00000077984;ENSG00000153113;,4592
cellular response to UV-C,GO:0071494,ENSG00000204397;ENSG00000135679;ENSG00000180953;ENSG00000141510;ENSG00000154059;ENSG00000170734;ENSG00000160345;,4593
pantothenate metabolic process,GO:0015939,ENSG00000149313;ENSG00000138074;ENSG00000125779;ENSG00000112299;ENSG00000093134;ENSG00000112303;ENSG00000120509;,4594
negative regulation of protein-containing complex disassembly,GO:0043242,ENSG00000170290;ENSG00000090376;ENSG00000232810;ENSG00000094631;,4595
regulation of relaxation of muscle,GO:1901077,ENSG00000170290;ENSG00000198523;ENSG00000075142;,4596
negative regulation of calcium ion binding,GO:1901877,ENSG00000170290;ENSG00000164096;ENSG00000198523;,4597
acetyl-CoA biosynthetic process,GO:0006085,ENSG00000075239;ENSG00000103150;ENSG00000131473;ENSG00000154930;ENSG00000131069;ENSG00000127125;,4598
coenzyme A metabolic process,GO:0015936,ENSG00000075239;ENSG00000131473;ENSG00000131844;ENSG00000113161;ENSG00000005469;,4599
ketone body biosynthetic process,GO:0046951,ENSG00000075239;ENSG00000111058;ENSG00000081760;ENSG00000083807;ENSG00000161267;ENSG00000164039;ENSG00000146151;ENSG00000134240;ENSG00000117305;,4600
ketone body catabolic process,GO:0046952,ENSG00000075239;ENSG00000161267;ENSG00000083720;ENSG00000198754;,4601
female meiotic nuclear division,GO:0007143,ENSG00000149311;ENSG00000166783;ENSG00000131747;ENSG00000108946;ENSG00000105568;ENSG00000121152;ENSG00000196074;ENSG00000025770;ENSG00000124882;ENSG00000214102;ENSG00000185122;,4602
oocyte development,GO:0048599,ENSG00000149311;ENSG00000006047;ENSG00000180336;ENSG00000171791;ENSG00000220201;ENSG00000105146;ENSG00000183733;ENSG00000163083;ENSG00000168036;ENSG00000047188;ENSG00000188372;ENSG00000137090;ENSG00000162552;,4603
chromosome organization involved in meiotic cell cycle,GO:0070192,ENSG00000149311;ENSG00000051180;ENSG00000180336;ENSG00000105173;ENSG00000100206;ENSG00000113522;ENSG00000175305;ENSG00000085224;,4604
replicative senescence,GO:0090399,ENSG00000149311;ENSG00000149554;ENSG00000141510;ENSG00000178971;ENSG00000153246;ENSG00000183765;ENSG00000175054;ENSG00000196549;ENSG00000164362;ENSG00000124762;ENSG00000106366;ENSG00000002745;ENSG00000147889;,4605
DNA damage induced protein phosphorylation,GO:0006975,ENSG00000149311;ENSG00000149554;ENSG00000008405;ENSG00000102882;ENSG00000108984;ENSG00000183765;ENSG00000188130;ENSG00000097007;,4606
negative regulation of telomere capping,GO:1904354,ENSG00000149311;ENSG00000132604;ENSG00000070366;ENSG00000113522;ENSG00000104320;,4607
positive regulation of telomere maintenance via telomere lengthening,GO:1904358,ENSG00000149311;ENSG00000258366;ENSG00000174953;ENSG00000145414;ENSG00000122566;,4608
peptidyl-serine autophosphorylation,GO:0036289,ENSG00000149311;ENSG00000075413;ENSG00000178607;ENSG00000126934;ENSG00000115020;ENSG00000157540;ENSG00000138669;ENSG00000137275;ENSG00000158828;,4609
negative regulation of mitochondrial fission,GO:0090258,ENSG00000166323;ENSG00000186868;ENSG00000109819;ENSG00000158828;,4610
positive regulation of exocytosis,GO:0045921,ENSG00000110723;ENSG00000129472;ENSG00000069974;ENSG00000092929;ENSG00000041353;ENSG00000105649;ENSG00000163032;ENSG00000074054;ENSG00000184381;ENSG00000144566;ENSG00000163539;ENSG00000163618;ENSG00000145335;ENSG00000171564;ENSG00000171560;ENSG00000171557;ENSG00000164506;ENSG00000106089;ENSG00000001626;ENSG00000081803;ENSG00000136854;ENSG00000107130;ENSG00000123595;ENSG00000102362;ENSG00000071553;,4611
keratinocyte development,GO:0003334,ENSG00000110723;ENSG00000172867;ENSG00000127152;ENSG00000075426;ENSG00000136068;ENSG00000129116;ENSG00000096872;ENSG00000175793;ENSG00000175707;,4612
anterior head development,GO:0097065,ENSG00000178105;ENSG00000139219;ENSG00000178921;ENSG00000125398;ENSG00000112175;,4613
positive regulation of protein localization to early endosome,GO:1902966,ENSG00000137710;ENSG00000137642;ENSG00000134318;ENSG00000128268;ENSG00000163840;ENSG00000138798;ENSG00000092820;ENSG00000147065;,4614
regulation of organelle assembly,GO:1902115,ENSG00000137710;ENSG00000160695;ENSG00000092820;ENSG00000147065;,4615
positive regulation of cellular protein catabolic process,GO:1903364,ENSG00000137710;ENSG00000160695;ENSG00000165617;ENSG00000080824;ENSG00000069329;ENSG00000183255;ENSG00000144560;ENSG00000118564;ENSG00000137288;ENSG00000118503;ENSG00000092820;ENSG00000184675;ENSG00000147065;ENSG00000185104;,4616
negative regulation of homotypic cell-cell adhesion,GO:0034111,ENSG00000137710;ENSG00000101331;ENSG00000183779;,4617
negative regulation of adherens junction organization,GO:1903392,ENSG00000137710;ENSG00000153162;ENSG00000112715;,4618
microvillus assembly,GO:0030033,ENSG00000137710;ENSG00000166866;ENSG00000102554;ENSG00000125249;ENSG00000109062;ENSG00000089327;ENSG00000154310;ENSG00000109756;ENSG00000158987;ENSG00000092820;ENSG00000134602;,4619
C21-steroid hormone biosynthetic process,GO:0006700,ENSG00000137714;ENSG00000140459;ENSG00000131748;ENSG00000005379;ENSG00000161513;ENSG00000267673;ENSG00000100300;ENSG00000010270;ENSG00000085662;ENSG00000147465;ENSG00000160882;ENSG00000179142;,4620
small molecule metabolic process,GO:0044281,ENSG00000137714;ENSG00000136003;ENSG00000165898;ENSG00000182512;ENSG00000267673;ENSG00000244005;ENSG00000214113;ENSG00000165060;ENSG00000135070;,4621
cellular response to forskolin,GO:1904322,ENSG00000137714;ENSG00000174233;ENSG00000138031;ENSG00000173175;ENSG00000145242;ENSG00000078295;ENSG00000184349;ENSG00000106546;ENSG00000164742;ENSG00000127955;ENSG00000001626;ENSG00000155897;,4622
germinal center B cell differentiation,GO:0002314,ENSG00000110777;ENSG00000111203;ENSG00000196839;ENSG00000138684;ENSG00000136244;ENSG00000079112;,4623
negative regulation of amyloid fibril formation,GO:1905907,ENSG00000109846;ENSG00000121351;ENSG00000130164;ENSG00000130203;ENSG00000120885;,4624
